dataset,variant,variant_label,model,model_label,precision,recall,f1,pr_auc,roc_auc,event_f1,event_precision,event_recall,pred_event_count,variant_order,model_order
skab,anomalyfree_vs_valve1_1,SKAB valve1/1,zscore,Z-score,0.5114503816793893,1.0,0.6767676767676768,0.3829043435769405,0.5117577318087924,1.0,1.0,1.0,1,0,0
skab,anomalyfree_vs_valve1_1,SKAB valve1/1,iforest,Isolation Forest,0.6103286384976526,0.6467661691542289,0.6280193236714976,0.5217452691018025,0.6489627883971952,0.6811594202898552,0.5164835164835165,1.0,91,0,1
skab,anomalyfree_vs_valve1_1,SKAB valve1/1,lstm_ae,LSTM-AE,0.6740576496674058,0.6594360086767896,0.6666666666666666,0.6946041670772889,0.7434828633405641,0.5714285714285715,0.4,1.0,5,0,2
skab,anomalyfree_vs_valve1_1,SKAB valve1/1,cnn_ae,CNN-AE,0.6011342155009451,0.6898047722342733,0.6424242424242425,0.4929887039875669,0.6490689804772234,0.6666666666666666,0.5,1.0,10,0,3
nab,rds_cpu_utilization_cc0c53,NAB rds_cpu,zscore,Z-score,0.3172268907563025,0.7512437810945274,0.4460856720827179,0.36616222014339833,0.49431746474569743,1.0,1.0,1.0,1,1,0
nab,rds_cpu_utilization_cc0c53,NAB rds_cpu,iforest,Isolation Forest,0.3114406779661017,0.7313432835820896,0.43684992570579495,0.3035634084023786,0.3962015689244034,1.0,1.0,1.0,6,1,1
nab,rds_cpu_utilization_cc0c53,NAB rds_cpu,lstm_ae,LSTM-AE,0.4411764705882353,0.8076923076923077,0.5706521739130435,0.49343072078601413,0.46401011824942096,1.0,1.0,1.0,1,1,2
nab,rds_cpu_utilization_cc0c53,NAB rds_cpu,cnn_ae,CNN-AE,0.4411764705882353,0.8076923076923077,0.5706521739130435,0.42828776165716054,0.43270754601974887,1.0,1.0,1.0,1,1,3
nab,ec2_cpu_utilization_5f5533,NAB ec2_cpu,zscore,Z-score,0.1375770020533881,1.0,0.24187725631768953,0.7588731018237295,0.8925012832662087,1.0,1.0,1.0,1,2,0
nab,ec2_cpu_utilization_5f5533,NAB ec2_cpu,iforest,Isolation Forest,0.16625916870415647,0.3383084577114428,0.22295081967213115,0.2982517331777112,0.5932287964937218,0.23709369024856594,0.13449023861171366,1.0,461,2,1
nab,ec2_cpu_utilization_5f5533,NAB ec2_cpu,lstm_ae,LSTM-AE,0.17796030116358658,1.0,0.30214991284137127,0.6902384570174109,0.7989840197271505,1.0,1.0,1.0,1,2,2
nab,ec2_cpu_utilization_5f5533,NAB ec2_cpu,cnn_ae,CNN-AE,0.17796030116358658,1.0,0.30214991284137127,0.5747097485685063,0.7104960609748286,1.0,1.0,1.0,1,2,3
nab,ec2_network_in_257a54,NAB ec2_network,zscore,Z-score,0.0,0.0,0.0,,,,,,0,3,0
nab,ec2_network_in_257a54,NAB ec2_network,iforest,Isolation Forest,0.0,0.0,0.0,,,,,,0,3,1
nab,ec2_network_in_257a54,NAB ec2_network,lstm_ae,LSTM-AE,0.0,0.0,0.0,,,,,,0,3,2
nab,ec2_network_in_257a54,NAB ec2_network,cnn_ae,CNN-AE,0.0,0.0,0.0,,,,,,0,3,3
