"threshold_percentile","dataset","variant","model","f1","precision","recall"
"99","nab","ec2_cpu_utilization_5f5533","iforest","0.120816326530612","0.0688372093023256","0.493333333333333"
"99.5","nab","ec2_cpu_utilization_5f5533","iforest","0.108463434675431","0.0618556701030928","0.44"
"99.9","nab","ec2_cpu_utilization_5f5533","iforest","0.218637992831541","0.149509803921569","0.406666666666667"
"99","nab","ec2_cpu_utilization_5f5533","zscore","0.161470823341327","0.0917347865576748","0.673333333333333"
"99.5","nab","ec2_cpu_utilization_5f5533","zscore","0.161470823341327","0.0917347865576748","0.673333333333333"
"99.9","nab","ec2_cpu_utilization_5f5533","zscore","0.161470823341327","0.0917347865576748","0.673333333333333"
"99","skab","anomalyfree_vs_valve1_1","iforest","0.376722817764165","0.49003984063745","0.305970149253731"
"99.5","skab","anomalyfree_vs_valve1_1","iforest","0.279850746268657","0.559701492537313","0.186567164179104"
"99.9","skab","anomalyfree_vs_valve1_1","iforest","0.154195011337868","0.871794871794872","0.0845771144278607"
"99","skab","anomalyfree_vs_valve1_1","zscore","0","0","0"
"99.5","skab","anomalyfree_vs_valve1_1","zscore","0","0","0"
"99.9","skab","anomalyfree_vs_valve1_1","zscore","0","0","0"
